,奶,奶茶,豆奶,茶,焦糖,香草,抹茶,红豆,芒果,黒加伦,红梅,蓝莓,蔓越莓,榛果,曲奇,巧克力,海盐,水果,甜,酸,苦
摩卡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿拿铁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿馥芮白,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿卡布奇诺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿焦糖玛奇朵,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿栗香玛奇朵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿美式咖啡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿巧克力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
﻿茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿红茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿绿茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿乌龙茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿碧螺春,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿冰摇茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
﻿黑加仑茶,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
﻿红梅黑加仑茶,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
﻿芒果木槿花茶,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
﻿木槿花茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿柠檬茶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
﻿布丁奶茶,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿红豆珍珠奶茶,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿低咖啡因摩卡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿低咖啡因拿铁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿豆奶摩卡,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿豆奶拿铁,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
﻿豆奶香草拿铁,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿豆奶榛果拿铁,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
﻿海盐焦糖玛奇朵,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
﻿焦糖拿铁,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿焦糖摩卡,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿红茶拿铁,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
﻿焦糖咖啡星冰乐,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿咖啡星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿摩卡星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿可可碎片星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
﻿芒果西番莲果茶星冰乐,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
﻿蜂巢糖脆摩卡星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
﻿巧克力星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
﻿蓝莓优酪,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
﻿蔓越莓白巧克力风味摩卡,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
﻿巧克力榛果风味玛奇朵,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
﻿曲奇拿铁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
﻿香草拿铁,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
﻿香草馥芮白,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
﻿榛果馥芮白,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
﻿香草玛奇朵,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿珍珠奶茶,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿榛果糖浆,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
﻿香草糖浆,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿榛果拿铁,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
﻿焦糖糖浆,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿白巧克力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
﻿白巧克力摩卡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
﻿红豆巧克力,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
﻿美式加榛果糖浆,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
﻿美式香草星冰乐,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
﻿抹茶拿铁,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
﻿抹茶星冰乐,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿摩卡碎片星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
﻿榛果拿铁星冰乐,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
